insurer_name,insurer_type,solvency_ratio,claims_ratio,premium_growth,reserve_adequacy,liquidity_ratio,compliance_score,policy_count,year,quarter,risk_label,anomaly_flag
CBZ Life,composite,1.9344,0.2652,-0.2791,0.7947,1.8734,0.5473,2383,2024,2,strong,0
ZB Bank Insurance,general,1.5731,0.5304,-0.005,0.8803,1.359,0.9665,5727,2018,4,strong,0
NicozDiamond Brokers,reinsurer,1.6152,0.422,0.3551,1.0332,1.4232,0.6509,5080,2021,3,strong,0
First Mutual Life,general,1.6743,0.9023,-0.1087,0.7672,1.3166,0.9386,5346,2019,2,adequate,0
NicozDiamond Brokers,reinsurer,1.586,0.7201,-0.2368,0.6452,0.9811,0.5983,5781,2024,2,adequate,0
Moonlight Insurance,composite,1.6897,0.5825,-0.1283,0.6325,1.29,0.7043,1350,2023,2,adequate,0
RM Life Zimbabwe,life,1.3192,0.604,-0.1376,0.861,1.6162,0.8506,9740,2022,2,adequate,0
ZB Bank Insurance,life,1.4439,0.4129,-0.1981,0.7782,1.648,0.843,3669,2018,3,strong,0
Alliance Insurance,reinsurer,2.2414,0.9857,-0.0691,0.7625,1.6978,0.5847,4115,2022,1,adequate,0
Fidelity Life Zimbabwe,reinsurer,1.9003,0.6308,-0.0911,0.853,1.3849,0.6776,2570,2022,4,strong,0
Heritage Insurance,general,1.0926,0.6462,-0.2533,0.9581,1.5392,0.9915,6044,2024,4,adequate,0
CBZ Life,life,0.5124,0.3871,0.1793,1.222,0.9431,0.619,996,2019,4,adequate,1
Sanctuary Insurance,composite,1.0247,0.6875,-0.123,1.0996,1.4991,0.7918,13657,2021,2,adequate,0
Zimnat General Insurance,life,0.7258,0.4465,0.0413,1.019,1.3916,0.5038,3309,2024,4,adequate,1
First Mutual Life,general,1.0922,1.0604,-0.0861,1.0992,1.3348,0.9652,1807,2023,4,adequate,0
ZB Bank Insurance,life,1.4938,0.6263,0.2019,0.9001,1.464,0.5983,5273,2019,4,strong,0
RM Life Zimbabwe,composite,0.7979,0.7767,0.0432,1.0092,0.8317,0.572,1802,2021,2,watch,1
Zimnat Life Assurance,reinsurer,1.7156,0.6668,-0.0393,0.8611,1.2531,0.6594,4154,2022,1,adequate,0
First Mutual Life,general,1.0929,0.5849,0.3321,0.881,1.0194,0.8849,1535,2024,3,adequate,0
Heritage Life Assurance,general,2.0201,0.2368,0.3327,0.8136,1.6865,0.8777,5532,2022,2,strong,0
