Entity Name,Insurance Category,Insurance Type,Physical Address,Email,Telephone,Source
CBZ Life Limited,Life Assurer,Life Assurance,"4th Floor, South Wing, Beverley Court, 100 Nelson Mandela, Harare",info@cbzh.co.zw,"0242-796010/11, 702133",IPEC Regulated Entities
Doves Life Assurance,Life Assurer,Life Assurance,"Olwen Croker House, 157 Harare Street, Harare",doves@doves.co.zw,"0242-772714/6, 774016, 0731772714, 0731772716",IPEC Regulated Entities
Econet Life (Private) Limited,Life Assurer,Life Assurance,"1906 Borrowdale Road, Borrowdale, Harare",ecosureoperations@econet.co.zw,0242-486121-6/0772023000,IPEC Regulated Entities
Evolution Health & Life Assurance Company,Life Assurer,Life Assurance,"Block 2, Arundel Office Park, Mount Pleasant, Harare",info@evolutionhealth.co.zw,0242-301038-9-81,IPEC Regulated Entities
Fidelity Life Assurance Company,Life Assurer,Life Assurance,"66 Julius Nyerere Way, Harare",fidelitylife@fidelitylife.co.zw,0242-750927/34,IPEC Regulated Entities
First Mutual Life Assurance Company,Life Assurer,Life Assurance,"100 Borrowdale Road, Borrowdale, Harare",info@fmlzim.co.zw,0242-886000/252151,IPEC Regulated Entities
Heritage Life Assurance Company,Life Assurer,Life Assurance,"69 Bard House, Samora Machel, Harare",enquiries@hamiltoninsurance.co.zw,"0242-708993/4, 708776/869/987",IPEC Regulated Entities
Nhaka Life Assurance (Pvt) Ltd,Life Assurer,Life Assurance,"5th Floor, MIPF House, 5 Central Avenue, Harare",info@mynhaka.co.zw,"0242-251776, /825852",IPEC Regulated Entities
Nyaradzo Life Assurance Company,Life Assurer,Life Assurance,"18 Park St, Ground Floor Sabi House, Harare",nlaco@nyaradzo.co.zw,0422-796694/7/70388,IPEC Regulated Entities
Old Mutual Life Assurance Company,Life Assurer,Life Assurance,"100 The Chase West, Emerald Hill, Harare",information@oldmutual.co.zw,0242-308400,IPEC Regulated Entities
ZB Life Assurance Company,Life Assurer,Life Assurance,"ZB Life Towers, 77 Jason Moyo Ave, Harare",info@zblife.co.zw,0242-708801,IPEC Regulated Entities
Zimnat Life Assurance Company,Life Assurer,Life Assurance,"Zimnat House, 3rd Street & Nelson Mandela Ave, Harare",administrator@zimnatlife.co.zw,0242-701176-94,IPEC Regulated Entities
Baobab Life & Health (Private) Limited,Life Reassurer,Life Reinsurance,"8th Floor, Zimre Centre, Cnr L Takwira Street/K. Nkrumah Ave, Harare",baobabre@baobabre.co.zw,0242-772963-9,IPEC Regulated Entities
First Mutual Reinsurance Company,Life Reassurer,Life Reinsurance,"100 Borrowdale Road, Borrowdale, Harare",fmre@fmre.co.zw,0242-850317-23,IPEC Regulated Entities
FBC Re,Life Reassurer,Life Reinsurance,"45 Nelson Mandela Avenue, Harare",,0242-777929932,IPEC Regulated Entities
Zep Re (PTA Reinsurance Company) - Life,Life Reassurer,Life Reinsurance,"16th Floor, North Wing, Joina City, Cnr Jason Moyo Street and Innez Terrace, Harare",,0242-777929932,IPEC Regulated Entities
Coverlink Microinsurance Company (Pvt) Limited,Micro-Insurer,Microinsurance,"10 Cumberland Road, Eastlea, Harare",info@coverlinkholdings.co.zw,0867008457/0774126673,IPEC Regulated Entities
Golden Knot Microinsurance,Micro-Insurer,Microinsurance,"104 Samora Machel Avenue West, Belvedere, Harare",enquiries@goldenknot.co.zw,"0242-783278/773147, 0776905912/3",IPEC Regulated Entities
EBA Microinsurance,Micro-Insurer,Microinsurance,"23 Straker Avenue, Gunhill, Harare",ebainsurance@gmail.com,773773773,IPEC Regulated Entities
Microsure Microinsurance Company,Micro-Insurer,Microinsurance,"Corner Central Avenue and 3rd Street, 3rd Floor Cosworld Building, Harare",attysibanda7@gmail.com,772778379,IPEC Regulated Entities
Rise Capital Microinsurance Company,Micro-Insurer,Microinsurance,"3rd Floor, First Mutual Building, Gweru",edwin@risecapital.co.zw,+263 772 842 546,IPEC Regulated Entities
Clientsure Microinsurance,Micro-Insurer,Microinsurance,"Suite 16, 2nd Floor, MIPF Building, 7th Street, Gweru",tinnrue@gmail.com,0542-229584/0775930297,IPEC Regulated Entities
Zambuko Microinsurance,Micro-Insurer,Microinsurance,"43 Selous Avenue, Harare",ptkays@gmail.com,772698911,IPEC Regulated Entities
Ethical Microinsurance,Micro-Insurer,Microinsurance,"161 Gleneagles Road, Willowvale, Harare",service@ethicalmicroinsurance.co.zw,0242-620290-2,IPEC Regulated Entities
Bayce Microinsurance,Micro-Insurer,Microinsurance,"2 Durban Close Road, Avondale, Harare",magayahyaku@gmail.com,0712487243/0782211523,IPEC Regulated Entities
Highground Microinsurance,Micro-Insurer,Microinsurance,"126-127 Long Chen Plaza, Samora Machel, Belvedere, Harare",enquiries@highground.co.zw,263777452824,IPEC Regulated Entities
Evolution Microinsurance,Micro-Insurer,Microinsurance,"18 Water Hill Avenue, Eastlea, Harare",rongina@evolutiongroupltd.com,263772410682,IPEC Regulated Entities
Motions Microinsurance,Micro-Insurer,Microinsurance,"211 Tongogara Avenue, Harare",cady@motions.co.zw,0778647524/0716295004,IPEC Regulated Entities
Command Microinsurance,Micro-Insurer,Microinsurance,"86 Samora Machel Avenue, Corner House, Harare",shanela@kingdombluefuneral.com,779275873,IPEC Regulated Entities
Langton Microinsurance,Micro-Insurer,Microinsurance,"64 The Chase, Mount Pleasant, Harare",gombsl68@gmail.com,783769689,IPEC Regulated Entities
Southern Oracle Microinsurance,Micro-Insurer,Microinsurance,"1 Mold Crescent, Kensington, Harare",hmtemachani@southernoracle.co.zw,716570894,IPEC Regulated Entities
Mountsentry Microinsurance,Micro-Insurer,Microinsurance,"123 Borrowdale Road, Gunhill, Harare",malcolm@mountfin.co.zw,774155508,IPEC Regulated Entities
Muca Reinsurance Company,Short-Term Reinsurer,Short-Term Reinsurance,"31 Airport Road, Hatfield, Harare",info@muca.co.zw,8677056065,IPEC Regulated Entities
Transaxis Reinsurance Company,Short-Term Reinsurer,Short-Term Reinsurance,"Suite 3, 1st Floor, Dutton Court, No. 27 Baines Avenue, Harare",info@transaxisre.com,"0242882630, 078416459, 0773788575",IPEC Regulated Entities
Grand Reinsurance Company,Short-Term Reinsurer,Short-Term Reinsurance,"12 Duthie Road, Belgravia, Harare",info@grandre.co.zw,242-701771-4,IPEC Regulated Entities
Tropical Reinsurance Company,Short-Term Reinsurer,Short-Term Reinsurance,"31 Churchill Avenue, Alexandra Park, Harare",tropical@tropicalre.co.zw,"0242-706514, 795258/764325-6",IPEC Regulated Entities
Waica Reinsurance Zimbabwe (Private) Limited,Short-Term Reinsurer,Short-Term Reinsurance,"27 Epping Road, Mt Pleasant, Harare",waicarezimbabwe@waicare.com,242 781 745/ 751700/ 753176,IPEC Regulated Entities
Emeritus Re,Short-Term Reinsurer,Short-Term Reinsurance,"2nd Floor Block D, Samatsatsa Office Park, Borrowdale, Harare",emeritusre@emeritusre.com,0242-772963-9/287 076228,IPEC Regulated Entities
FBC Reinsurance Limited,Short-Term Reinsurer,Short-Term Reinsurance,"6th Floor FBC Centre, 45 Nelson Mandela, Harare",info@fbc.co.zw,"0242-704481-2, 772705-7",IPEC Regulated Entities
FMRE (First Mutual Reinsurance),Short-Term Reinsurer,Short-Term Reinsurance,"First Mutual Park 100, Borrowdale Road, Harare",fmre@fmlzim.com,0242-774478-9/771642/850317,IPEC Regulated Entities
ZEP Re (PTA Reinsurance Company) - Short-Term,Short-Term Reinsurer,Short-Term Reinsurance,"Joina City, 16th Floor North Wing, Cnr Jason Moyo & Inez Terrace, Harare",jgwatipedza@zep-re.com,263 242 777 929-32,IPEC Regulated Entities
ZB Reinsurance,Short-Term Reinsurer,Short-Term Reinsurance,"2nd Floor, Finsure House, Corner Sam Nujoma & Kwame Nkrumah Ave, Harare",info@zbre.co.zw,0242-759735-7,IPEC Regulated Entities
Orchid Funeral Assurance,Funeral Assurer,Funeral Assurance,Harare,info@orchidfuneral.co.zw,"0242-744510/12, 704672, 75668, 775313/4",IPEC Regulated Entities
First Funeral Assurance,Funeral Assurer,Funeral Assurance,Harare,ffa@ffa.co.zw,0242-798609-12/797539-41/776136,IPEC Regulated Entities
Foundation Mutual Society,Funeral Assurer,Funeral Assurance,Harare,pngwe@gmail.com,0242-775303/771916,IPEC Regulated Entities
Moonlight Funeral Assurance & Services,Funeral Assurer,Funeral Assurance,Harare,nmuseba@moonlight.co.zw,0242-781341-2/0734066999,IPEC Regulated Entities
Ruvimbo Funeral Assurance,Funeral Assurer,Funeral Assurance,Harare,gillian.gomba@ruvimbofuneral.org,,IPEC Regulated Entities
Vineyard Funeral Assurance,Funeral Assurer,Funeral Assurance,Harare,rumbidzai@vineyardfuneral.co.zw,0242-750766/0772721962/0773651427,IPEC Regulated Entities
Sunset Funeral Assurance,Funeral Assurer,Funeral Assurance,Harare,funeralsunset@yahoo.com,0292-408031-2,IPEC Regulated Entities
Kuwadzana Funeral,Funeral Assurer,Funeral Assurance,Harare,chinengundu.consultancy@gmail.com,0773227274/0719227274,IPEC Regulated Entities
Passion Funeral Assurance,Funeral Assurer,Funeral Assurance,Harare,revi@passion.co.zw,"04-481187, 443751",IPEC Regulated Entities
Kings and Queens Funeral Assurance,Funeral Assurer,Funeral Assurance,Bulawayo,rockstrewn1@gmail.com,+263 292 941 6663/ 242 751 712/8-9,IPEC Regulated Entities
Alliance Insurance Company,Short-Term Insurer,Short-Term Insurance,"66 Ridgeway North, Borrowdale, Harare",queries@aic.co.zw,08677000715/0773693681,IPEC Regulated Entities
AFC Insurance Company,Short-Term Insurer,Short-Term Insurance,"Hurudza House, 14-16 Nelson Mandela, Harare",insurance@afcholdings.co.zw,0242-774429,IPEC Regulated Entities
Allied Insurance Company,Short-Term Insurer,Short-Term Insurance,"52 Somerset Drive, Eastlea, Harare",info@alliedinsurance.co.zw,"0242-764288, 764248, 764330, 0772 199 199",IPEC Regulated Entities
CBZ Insurance Limited,Short-Term Insurer,Short-Term Insurance,"5 Campell Road, Pomona, Borrowdale, Harare",contactcentre@cbz.co.zw,08677 004052,IPEC Regulated Entities
Cell Insurance Company,Short-Term Insurer,Short-Term Insurance,"The Honey Comb, 25 Rhodesville Avenue, Rhodesville, Harare",contactcenter@cellinsurance.co.zw,086-77201201/08677200200,IPEC Regulated Entities
