claim_id,insurer,policy_type,claim_amount,premium,risk_score,claim_status,settlement_days,vehicle_value
CLM-0001,ZimSecure,motor,10212,727.6,0.74,pending,20,38741
CLM-0002,ZimSecure,business,15325,676.93,0.346,paid,9,0
CLM-0003,ZimSecure,business,8015,1107.56,0.499,paid,48,0
CLM-0004,TrustCover,motor,6431,563.58,0.298,rejected,32,25059
CLM-0005,ZimSecure,motor,13649,1231.92,0.441,paid,11,5847
CLM-0006,PrimeLife,business,5590,285.27,0.403,paid,31,0
CLM-0007,TrustCover,business,7800,362.04,0.353,paid,11,0
CLM-0008,ZimSecure,health,1954,154.2,0.663,paid,14,0
CLM-0009,TrustCover,property,15730,1217.14,0.892,pending,52,0
CLM-0010,Anchor Insurance,health,4310,451.33,0.385,rejected,7,0
CLM-0011,Anchor Insurance,health,5613,404.51,0.204,paid,3,0
CLM-0012,TrustCover,motor,8113,1319.92,0.419,paid,41,28928
CLM-0013,PrimeLife,health,4639,345.73,0.607,paid,6,0
CLM-0014,Anchor Insurance,travel,4980,451.58,0.938,paid,15,0
CLM-0015,PrimeLife,motor,2743,168.41,0.302,pending,12,42086
CLM-0016,ZimSecure,travel,3326,379.42,0.918,rejected,17,0
CLM-0017,ZimSecure,motor,18795,2774.21,0.439,paid,22,13365
CLM-0018,PrimeLife,motor,9830,1441.81,0.566,paid,37,43979
CLM-0019,TrustCover,business,21454,1317.22,0.76,pending,19,0
CLM-0020,Anchor Insurance,motor,20826,2257.64,0.265,paid,25,23153
CLM-0021,Heritage Shield,motor,9092,1569.03,0.245,paid,41,7535
CLM-0022,Anchor Insurance,health,2403,256.01,0.598,paid,23,0
CLM-0023,Anchor Insurance,travel,1935,282.0,0.704,pending,20,0
CLM-0024,PrimeLife,property,30711,3169.62,0.368,paid,43,0
CLM-0025,ZimSecure,business,19650,2404.8,0.185,pending,21,0
CLM-0026,ZimSecure,health,1404,225.13,0.234,paid,3,0
CLM-0027,PrimeLife,health,2467,421.79,0.614,paid,25,0
CLM-0028,PrimeLife,travel,1759,94.23,0.508,paid,6,0
CLM-0029,PrimeLife,motor,4424,426.33,0.438,pending,8,19295
CLM-0030,Heritage Shield,health,7650,757.84,0.392,paid,6,0
CLM-0031,ZimSecure,travel,4708,221.66,0.939,rejected,6,0
CLM-0032,ZimSecure,health,3024,326.56,0.342,paid,15,0
CLM-0033,ZimSecure,health,6509,1158.23,0.382,pending,2,0
CLM-0034,PrimeLife,property,29722,5172.36,0.937,pending,54,0
CLM-0035,PrimeLife,health,3411,240.4,0.224,pending,11,0
CLM-0036,ZimSecure,property,5746,699.78,0.562,pending,13,0
CLM-0037,Heritage Shield,motor,17840,2839.91,0.232,paid,10,18414
CLM-0038,PrimeLife,motor,19867,2404.87,0.21,paid,20,41251
CLM-0039,Anchor Insurance,business,11866,813.96,0.724,paid,23,0
CLM-0040,PrimeLife,health,5215,439.44,0.751,paid,16,0
CLM-0041,PrimeLife,business,19948,1002.52,0.342,paid,13,0
CLM-0042,TrustCover,motor,9204,735.38,0.513,paid,28,22825
CLM-0043,Anchor Insurance,business,1756,271.12,0.408,paid,49,0
CLM-0044,Heritage Shield,property,9564,1376.63,0.298,paid,16,0
CLM-0045,Heritage Shield,property,15342,1975.95,0.381,paid,53,0
CLM-0046,ZimSecure,motor,21984,3431.89,0.214,paid,32,11573
CLM-0047,TrustCover,health,7539,1046.36,0.606,paid,19,0
CLM-0048,Heritage Shield,business,2680,325.76,0.293,paid,30,0
CLM-0049,TrustCover,property,4614,320.26,0.37,paid,32,0
CLM-0050,Anchor Insurance,travel,5284,896.2,0.36,paid,7,0
CLM-0051,Heritage Shield,travel,403,57.68,0.432,rejected,8,0
CLM-0052,Heritage Shield,property,12433,1717.98,0.471,paid,60,0
CLM-0053,PrimeLife,health,3569,317.47,0.804,rejected,16,0
CLM-0054,Heritage Shield,motor,7528,647.08,0.837,rejected,30,21292
CLM-0055,TrustCover,business,14596,2588.76,0.588,rejected,50,0
CLM-0056,ZimSecure,property,13702,2394.49,0.382,paid,47,0
CLM-0057,PrimeLife,property,49745,4174.34,0.641,paid,60,0
CLM-0058,PrimeLife,business,7728,357.14,0.511,paid,23,0
CLM-0059,Anchor Insurance,health,6267,312.07,0.685,paid,15,0
CLM-0060,TrustCover,motor,11040,919.63,0.49,paid,37,22376
CLM-0061,Anchor Insurance,health,3443,458.23,0.468,pending,15,0
CLM-0062,Heritage Shield,business,20148,1951.34,0.814,paid,26,0
CLM-0063,Heritage Shield,travel,4951,520.34,0.516,paid,13,0
CLM-0064,PrimeLife,health,1689,189.44,0.661,paid,11,0
CLM-0065,Heritage Shield,property,16722,1013.85,0.215,rejected,22,0
CLM-0066,Anchor Insurance,motor,16123,2645.13,0.618,pending,31,28164
CLM-0067,PrimeLife,travel,2198,289.8,0.184,pending,7,0
CLM-0068,ZimSecure,travel,1992,303.93,0.709,paid,8,0
CLM-0069,Anchor Insurance,health,2288,134.23,0.533,paid,16,0
CLM-0070,Anchor Insurance,business,11897,1496.3,0.727,pending,35,0
CLM-0071,Anchor Insurance,travel,1503,154.82,0.751,rejected,18,0
CLM-0072,TrustCover,business,17379,1277.26,0.514,pending,47,0
CLM-0073,Heritage Shield,property,24010,3962.22,0.241,paid,30,0
CLM-0074,PrimeLife,health,3805,373.2,0.431,paid,4,0
CLM-0075,ZimSecure,health,7183,1197.24,0.624,pending,14,0
CLM-0076,Anchor Insurance,travel,4107,706.34,0.407,paid,3,0
CLM-0077,PrimeLife,business,25994,3950.61,0.862,pending,41,0
CLM-0078,TrustCover,travel,4178,394.57,0.688,pending,3,0
CLM-0079,Heritage Shield,travel,1245,54.5,0.479,paid,20,0
CLM-0080,ZimSecure,motor,15244,2459.76,0.318,paid,13,24453
CLM-0081,Heritage Shield,travel,2877,421.69,0.468,pending,13,0
CLM-0082,PrimeLife,property,7367,314.67,0.59,rejected,40,0
CLM-0083,TrustCover,health,1424,64.99,0.204,paid,22,0
CLM-0084,ZimSecure,business,6493,374.46,0.689,paid,22,0
CLM-0085,Heritage Shield,travel,5930,873.88,0.308,paid,11,0
CLM-0086,ZimSecure,health,5396,653.0,0.886,pending,5,0
CLM-0087,PrimeLife,travel,1824,224.16,0.811,paid,5,0
CLM-0088,TrustCover,business,27895,4225.31,0.61,paid,14,0
CLM-0089,Anchor Insurance,travel,5619,279.01,0.672,paid,14,0
CLM-0090,PrimeLife,travel,1064,185.68,0.663,pending,16,0
CLM-0091,Heritage Shield,travel,1642,287.62,0.385,pending,19,0
CLM-0092,Anchor Insurance,travel,4008,623.66,0.63,paid,16,0
CLM-0093,Heritage Shield,motor,10339,766.54,0.533,paid,33,27837
CLM-0094,TrustCover,motor,17397,1138.77,0.341,pending,25,25304
CLM-0095,TrustCover,business,24476,2883.54,0.573,paid,24,0
CLM-0096,Heritage Shield,travel,4202,614.09,0.705,paid,20,0
CLM-0097,PrimeLife,travel,341,27.69,0.487,paid,5,0
CLM-0098,Anchor Insurance,property,33015,3774.57,0.503,pending,45,0
CLM-0099,TrustCover,property,48062,3745.39,0.371,paid,39,0
CLM-0100,Heritage Shield,property,9835,1131.23,0.759,paid,57,0
CLM-0101,Heritage Shield,travel,2465,304.55,0.925,rejected,19,0
CLM-0102,TrustCover,health,6212,511.36,0.718,paid,7,0
CLM-0103,ZimSecure,motor,19332,2660.83,0.276,pending,23,35170
CLM-0104,ZimSecure,motor,20010,2115.37,0.515,paid,23,6367
